order_id,order_timestamp,channel,customer_id,server_id,party_size,table_no,promo_code,discount_amount,subtotal,tax,tip,delivery_fee,total,payment_method
100032,2026-02-22 13:27:42,Dine-In,502.0,24.0,3.0,25.0,,0.0,35.3,2.82,5.03,0.0,43.15,Card
100033,2026-02-05 16:40:41,Dine-In,82.0,19.0,6.0,31.0,,0.0,25.23,2.02,4.07,0.0,31.32,Card
100034,2026-02-21 19:23:22,Dine-In,,6.0,1.0,30.0,,0.0,45.24,3.62,8.46,0.0,57.32,Card
100035,2026-02-08 21:55:51,Dine-In,619.0,12.0,2.0,7.0,,0.0,37.22,2.98,7.49,0.0,47.69,Card
100036,2026-02-20 21:43:25,Delivery,139.0,,,,FAMILY15,1.66,13.86,0.98,0.0,3.62,16.8,Card
100037,2026-02-19 14:40:54,Takeout,309.0,,,,,0.0,39.63,3.17,2.39,0.0,45.19,Apple Pay
100038,2026-02-13 14:31:47,Takeout,,,,,,0.0,91.83,7.35,0.0,0.0,99.18,Card
100039,2026-02-21 15:28:14,Dine-In,,22.0,5.0,30.0,LUNCH5,5.0,23.68,1.49,3.74,0.0,23.91,Apple Pay
100040,2026-02-18 13:29:08,Dine-In,104.0,11.0,5.0,32.0,,0.0,38.19,3.06,6.23,0.0,47.48,Card
100041,2026-02-04 12:09:16,Delivery,,,,,LUNCH5,5.0,23.45,1.48,0.0,5.88,25.81,Card
100042,2026-02-28 19:08:06,Delivery,108.0,,,,WELCOME10,0.67,6.65,0.48,0.0,5.11,11.57,Card
100043,2026-02-14 20:12:09,Takeout,142.0,,,,,0.0,43.65,3.49,3.34,0.0,50.48,Card
100044,2026-02-13 18:30:33,Dine-In,440.0,15.0,2.0,27.0,WEEKEND7,7.0,88.25,6.5,17.71,0.0,105.46,Cash
100045,2026-02-25 21:26:25,Delivery,,,,,,0.0,55.39,4.43,0.0,4.03,63.85,Card
100046,2026-02-19 19:53:56,Dine-In,400.0,3.0,4.0,9.0,,0.0,72.22,5.78,12.32,0.0,90.32,Card
100047,2026-02-24 12:22:48,Takeout,306.0,,,,,0.0,57.88,4.63,6.75,0.0,69.26,Card
100048,2026-02-16 12:29:24,Dine-In,529.0,16.0,4.0,24.0,,0.0,39.59,3.17,6.35,0.0,49.11,Card
100049,2026-02-22 20:12:28,Takeout,,,,,,0.0,75.78,6.06,0.0,0.0,81.84,Card
100050,2026-02-24 11:12:23,Takeout,157.0,,,,,0.0,13.13,1.05,1.69,0.0,15.87,Card
100051,2026-02-27 13:28:47,Dine-In,70.0,8.0,6.0,27.0,LUNCH5,5.0,72.86,5.43,12.67,0.0,85.96,Card
100052,2026-02-21 11:36:39,Takeout,239.0,,,,,0.0,112.87,9.03,0.0,0.0,121.9,Google Pay
100053,2026-02-15 19:27:42,Delivery,20.0,,,,,0.0,27.92,2.23,0.0,4.76,34.91,Card
100054,2026-02-27 13:29:11,Dine-In,264.0,34.0,2.0,7.0,,0.0,80.85,6.47,16.92,0.0,104.24,Card
100055,2026-02-27 20:39:38,Takeout,771.0,,,,,0.0,94.8,7.58,0.0,0.0,102.38,Card
100056,2026-02-22 18:33:08,Dine-In,652.0,27.0,3.0,10.0,,0.0,27.61,2.21,6.0,0.0,35.82,Card
100057,2026-02-27 16:38:16,Delivery,360.0,,,,,0.0,83.99,6.72,0.0,4.5,95.21,Card
100058,2026-02-25 21:40:16,Delivery,,,,,,0.0,39.23,3.14,0.0,5.76,48.13,Card
100059,2026-02-01 08:11:26,Takeout,,,,,WEEKEND7,7.0,38.12,2.49,0.0,0.0,33.61,Card
100060,2026-02-12 20:45:07,Dine-In,227.0,13.0,4.0,18.0,,0.0,44.47,3.56,9.71,0.0,57.74,Card
100061,2026-02-04 13:00:32,Dine-In,580.0,13.0,4.0,39.0,,0.0,56.02,4.48,9.71,0.0,70.21,Card
100062,2026-02-16 15:27:41,Takeout,331.0,,,,,0.0,39.89,3.19,0.0,0.0,43.08,Card
100063,2026-02-07 11:21:47,Dine-In,,28.0,6.0,13.0,,0.0,21.18,1.69,3.25,0.0,26.12,Card
100064,2026-02-03 12:28:21,Delivery,,,,,,0.0,28.25,2.26,0.0,5.91,36.42,Google Pay
100065,2026-02-11 20:21:03,Delivery,309.0,,,,LUNCH5,5.0,84.05,6.32,0.0,4.86,90.23,Card
100066,2026-02-14 14:39:39,Dine-In,337.0,2.0,4.0,7.0,,0.0,17.58,1.41,2.85,0.0,21.84,Card
100067,2026-02-14 12:07:51,Dine-In,447.0,9.0,3.0,23.0,,0.0,24.49,1.96,4.18,0.0,30.63,Apple Pay
100068,2026-02-25 14:12:12,Takeout,71.0,,,,WEEKEND7,0.0,19.76,1.58,0.0,0.0,21.34,Card
100069,2026-02-06 15:50:58,Dine-In,,15.0,4.0,15.0,,0.0,45.93,3.67,7.16,0.0,56.76,Card
100070,2026-02-05 15:40:37,Delivery,31.0,,,,,0.0,28.33,2.27,0.0,5.53,36.13,Card
100071,2026-02-07 12:29:53,Takeout,114.0,,,,LUNCH5,5.0,54.88,3.99,0.0,0.0,53.87,Card
100072,2026-02-21 11:33:56,Delivery,,,,,WEEKEND7,0.0,19.89,1.59,0.0,3.72,25.2,Card
100073,2026-02-18 12:05:20,Dine-In,,18.0,5.0,38.0,VALENTINE,8.0,90.33,6.59,14.69,0.0,103.61,Card
100074,2026-02-07 12:24:55,Dine-In,387.0,14.0,3.0,24.0,,0.0,18.19,1.46,2.79,0.0,22.44,Card
100075,2026-02-13 13:18:01,Dine-In,78.0,15.0,2.0,6.0,,0.0,40.35,3.23,7.05,0.0,50.63,Card
100076,2026-02-20 12:30:47,Delivery,,,,,,0.0,13.88,1.11,0.0,3.89,18.88,Apple Pay
100077,2026-02-22 14:25:52,Takeout,484.0,,,,,0.0,18.71,1.5,0.0,0.0,20.21,Card
100078,2026-02-03 20:00:26,Dine-In,,29.0,1.0,9.0,,0.0,30.54,2.44,6.06,0.0,39.04,Google Pay
100079,2026-02-05 21:21:36,Takeout,623.0,,,,,0.0,68.58,5.49,4.6,0.0,78.67,Card
100080,2026-02-06 20:44:38,Dine-In,396.0,12.0,2.0,15.0,,0.0,79.98,6.4,17.51,0.0,103.89,Card
100081,2026-02-13 19:06:13,Dine-In,727.0,14.0,4.0,11.0,FAMILY15,8.3,69.18,4.87,10.11,0.0,75.86,Card
100082,2026-02-21 13:49:56,Delivery,729.0,,,,,0.0,29.97,2.4,0.0,3.28,35.65,Card
100083,2026-02-01 20:45:34,Dine-In,,5.0,4.0,14.0,,0.0,110.2,8.82,13.64,0.0,132.66,Card
100084,2026-02-21 12:54:42,Takeout,70.0,,,,,0.0,9.74,0.78,0.64,0.0,11.16,Apple Pay
100085,2026-02-17 12:46:10,Dine-In,158.0,1.0,3.0,12.0,,0.0,16.48,1.32,3.16,0.0,20.96,Apple Pay
100086,2026-02-12 13:46:03,Takeout,387.0,,,,LUNCH5,5.0,77.32,5.79,4.82,0.0,82.93,Card
100087,2026-02-03 13:21:13,Delivery,439.0,,,,,0.0,17.06,1.36,0.0,3.94,22.36,Card
100088,2026-02-14 11:20:52,Dine-In,224.0,24.0,2.0,39.0,,0.0,16.85,1.35,3.58,0.0,21.78,Cash
100089,2026-02-04 12:31:54,Takeout,19.0,,,,,0.0,39.45,3.16,0.0,0.0,42.61,Card
100090,2026-02-18 10:23:31,Dine-In,658.0,10.0,1.0,39.0,FAMILY15,9.19,76.58,5.39,11.6,0.0,84.38,Card
100091,2026-02-18 10:31:04,Delivery,145.0,,,,,0.0,50.69,4.06,0.0,4.72,59.47,Gift Card
100092,2026-02-07 20:08:30,Dine-In,172.0,24.0,3.0,28.0,,0.0,33.0,2.64,5.49,0.0,41.13,Card
100093,2026-02-11 18:36:30,Dine-In,513.0,13.0,4.0,24.0,VALENTINE,3.06,30.62,2.2,4.37,0.0,34.13,Card
100094,2026-02-07 14:16:49,Delivery,,,,,,0.0,23.62,1.89,0.0,3.09,28.6,Card
100095,2026-02-18 18:33:44,Takeout,620.0,,,,,0.0,45.63,3.65,0.0,0.0,49.28,Google Pay
100096,2026-02-15 12:06:16,Takeout,546.0,,,,,0.0,49.53,3.96,0.0,0.0,53.49,Google Pay
100097,2026-02-12 13:42:10,Delivery,72.0,,,,,0.0,60.34,4.83,0.0,3.32,68.49,Card
100098,2026-02-07 12:29:12,Dine-In,640.0,27.0,2.0,11.0,,0.0,10.57,0.85,1.52,0.0,12.94,Card
100099,2026-02-22 08:17:48,Delivery,43.0,,,,WEEKEND7,0.0,30.34,2.43,0.0,5.27,38.04,Google Pay
100100,2026-02-14 13:04:27,Dine-In,,22.0,5.0,24.0,,0.0,84.07,6.73,15.97,0.0,106.77,Cash
100101,2026-02-11 18:21:26,Takeout,654.0,,,,WELCOME10,7.85,78.45,5.65,4.91,0.0,81.16,Card
100102,2026-02-15 18:16:54,Takeout,510.0,,,,,0.0,39.0,3.12,0.0,0.0,42.12,Card
100103,2026-02-06 21:57:24,Takeout,264.0,,,,,0.0,27.49,2.2,0.0,0.0,29.69,Card
100104,2026-02-10 20:29:41,Takeout,448.0,,,,,0.0,46.64,3.73,2.62,0.0,52.99,Card
100105,2026-02-24 22:20:49,Dine-In,617.0,9.0,4.0,7.0,,0.0,42.96,3.44,8.6,0.0,55.0,Card
100106,2026-02-17 13:07:44,Dine-In,221.0,31.0,3.0,25.0,FAMILY15,0.42,3.47,0.24,0.65,0.0,3.94,Card
100107,2026-02-21 20:34:46,Dine-In,,11.0,3.0,22.0,,0.0,87.38,6.99,13.31,0.0,107.68,Cash
100108,2026-02-25 10:59:45,Dine-In,453.0,11.0,4.0,19.0,,0.0,91.51,7.32,15.7,0.0,114.53,Card
100109,2026-02-13 12:02:46,Dine-In,407.0,3.0,3.0,39.0,WELCOME10,7.18,71.84,5.17,12.9,0.0,82.73,Card
100110,2026-02-14 18:13:06,Dine-In,718.0,35.0,1.0,36.0,,0.0,55.63,4.45,8.42,0.0,68.5,Card
100111,2026-02-16 18:37:05,Takeout,,,,,,0.0,3.55,0.28,0.0,0.0,3.83,Google Pay
100112,2026-02-01 13:45:50,Dine-In,591.0,35.0,3.0,21.0,,0.0,70.21,5.62,10.95,0.0,86.78,Card
100113,2026-02-18 11:17:16,Dine-In,86.0,11.0,7.0,28.0,,0.0,90.01,7.2,15.58,0.0,112.79,Card
100114,2026-02-12 13:56:49,Dine-In,101.0,15.0,2.0,15.0,FAMILY15,6.2,51.66,3.64,7.96,0.0,57.06,Card
100115,2026-02-26 12:46:48,Dine-In,,23.0,4.0,35.0,,0.0,57.18,4.57,11.31,0.0,73.06,Card
100116,2026-02-13 15:28:22,Takeout,283.0,,,,,0.0,78.77,6.3,0.0,0.0,85.07,Card
100117,2026-02-27 12:08:43,Delivery,,,,,,0.0,15.11,1.21,0.0,5.21,21.53,Google Pay
100118,2026-02-23 20:30:33,Takeout,460.0,,,,,0.0,63.09,5.05,7.81,0.0,75.95,Card
100119,2026-02-07 13:48:52,Delivery,,,,,,0.0,42.64,3.41,0.0,5.69,51.74,Card
100120,2026-02-27 08:49:42,Dine-In,307.0,31.0,2.0,12.0,,0.0,82.85,6.63,12.69,0.0,102.17,Card
100121,2026-02-20 21:42:17,Dine-In,699.0,32.0,4.0,21.0,,0.0,48.48,3.88,8.71,0.0,61.07,Card
100122,2026-02-14 13:21:05,Takeout,157.0,,,,,0.0,83.75,6.7,0.0,0.0,90.45,Card
100123,2026-02-05 11:13:12,Delivery,632.0,,,,WELCOME10,0.54,5.41,0.39,0.0,5.93,11.19,Card
100124,2026-02-13 10:27:41,Dine-In,288.0,8.0,7.0,27.0,,0.0,35.75,2.86,6.46,0.0,45.07,Card
100125,2026-02-08 16:21:19,Dine-In,,1.0,4.0,9.0,,0.0,43.02,3.44,8.36,0.0,54.82,Card
100126,2026-02-17 20:36:41,Delivery,457.0,,,,FAMILY15,7.98,66.5,4.68,0.0,5.71,68.91,Gift Card
100127,2026-02-26 15:45:07,Delivery,430.0,,,,WEEKEND7,0.0,13.4,1.07,0.0,3.17,17.64,Gift Card
100128,2026-02-06 19:12:32,Delivery,769.0,,,,,0.0,30.48,2.44,0.0,3.02,35.94,Google Pay
100129,2026-02-15 17:25:46,Dine-In,,20.0,2.0,18.0,,0.0,66.37,5.31,7.97,0.0,79.65,Card
100130,2026-02-17 13:48:35,Dine-In,627.0,9.0,2.0,4.0,VALENTINE,8.0,101.61,7.49,13.64,0.0,114.74,Card
100131,2026-02-17 12:40:28,Dine-In,645.0,18.0,5.0,26.0,,0.0,24.52,1.96,5.06,0.0,31.54,Card
100132,2026-02-14 19:28:10,Delivery,,,,,,0.0,51.96,4.16,0.0,3.29,59.41,Card
100133,2026-02-04 08:53:41,Delivery,789.0,,,,WEEKEND7,0.0,11.32,0.91,0.0,5.86,18.09,Card
100134,2026-02-21 13:27:45,Dine-In,577.0,9.0,6.0,11.0,FAMILY15,7.87,65.59,4.62,9.32,0.0,71.66,Card
100135,2026-02-07 12:20:18,Dine-In,,25.0,4.0,8.0,,0.0,48.91,3.91,6.61,0.0,59.43,Card
100136,2026-02-10 12:38:27,Dine-In,294.0,20.0,2.0,7.0,FAMILY15,5.1,42.47,2.99,8.14,0.0,48.5,Cash
100137,2026-02-05 12:06:30,Delivery,438.0,,,,,0.0,89.7,7.18,0.0,4.59,101.47,Card
100138,2026-02-23 14:37:45,Dine-In,,15.0,2.0,1.0,,0.0,32.66,2.61,6.69,0.0,41.96,Cash
100139,2026-02-05 15:53:54,Takeout,,,,,,0.0,43.3,3.46,2.62,0.0,49.38,Card
100140,2026-02-14 18:38:10,Dine-In,251.0,24.0,1.0,37.0,,0.0,70.27,5.62,9.56,0.0,85.45,Card
100141,2026-02-13 21:29:35,Takeout,586.0,,,,,0.0,51.59,4.13,6.43,0.0,62.15,Card
100142,2026-02-24 19:18:41,Dine-In,381.0,25.0,4.0,13.0,,0.0,38.24,3.06,5.4,0.0,46.7,Card
100143,2026-02-26 12:32:12,Takeout,276.0,,,,,0.0,21.78,1.74,1.29,0.0,24.81,Card
100144,2026-02-28 19:45:20,Takeout,,,,,FAMILY15,7.47,62.21,4.38,0.0,0.0,59.12,Card
100145,2026-02-22 12:25:32,Dine-In,,34.0,2.0,9.0,,0.0,62.29,4.98,11.39,0.0,78.66,Card
100146,2026-02-22 12:42:51,Takeout,97.0,,,,WEEKEND7,7.0,62.8,4.46,0.0,0.0,60.26,Card
100147,2026-02-27 21:36:31,Dine-In,635.0,19.0,6.0,9.0,WEEKEND7,7.0,36.06,2.32,3.65,0.0,35.03,Cash
100148,2026-02-21 17:08:09,Delivery,163.0,,,,,0.0,29.56,2.36,0.0,3.32,35.24,Google Pay
100149,2026-02-12 14:25:21,Dine-In,,22.0,3.0,31.0,WEEKEND7,7.0,42.33,2.83,6.97,0.0,45.13,Card
100150,2026-02-23 19:39:13,Delivery,,,,,,0.0,77.1,6.17,0.0,3.77,87.04,Apple Pay
100151,2026-02-03 20:28:21,Delivery,204.0,,,,,0.0,35.9,2.87,0.0,4.16,42.93,Card
100152,2026-02-22 18:48:39,Dine-In,470.0,21.0,7.0,32.0,WEEKEND7,7.0,89.43,6.59,17.9,0.0,106.92,Card
100153,2026-02-01 19:39:01,Dine-In,128.0,20.0,4.0,30.0,,0.0,47.68,3.81,7.8,0.0,59.29,Card
100154,2026-02-19 18:15:59,Delivery,90.0,,,,,0.0,44.1,3.53,0.0,3.66,51.29,Card
100155,2026-02-11 12:13:30,Delivery,476.0,,,,,0.0,24.55,1.96,0.0,5.63,32.14,Card
100156,2026-02-24 19:21:57,Delivery,27.0,,,,,0.0,27.24,2.18,0.0,4.0,33.42,Google Pay
100157,2026-02-28 12:35:25,Dine-In,,26.0,5.0,37.0,,0.0,40.45,3.24,7.19,0.0,50.88,Card
100158,2026-02-22 20:34:20,Dine-In,12.0,6.0,4.0,38.0,WEEKEND7,0.0,18.71,1.5,3.43,0.0,23.64,Cash
100159,2026-02-06 18:22:14,Dine-In,,35.0,4.0,25.0,,0.0,67.05,5.36,13.67,0.0,86.08,Card
100160,2026-02-14 09:04:31,Delivery,704.0,,,,,0.0,14.56,1.16,0.0,4.88,20.6,Apple Pay
100161,2026-02-04 13:04:38,Dine-In,261.0,11.0,6.0,13.0,,0.0,64.04,5.12,8.96,0.0,78.12,Card
100162,2026-02-21 18:59:29,Takeout,525.0,,,,,0.0,74.33,5.95,4.52,0.0,84.8,Card
100163,2026-02-07 13:50:28,Dine-In,,3.0,2.0,27.0,,0.0,14.3,1.14,2.85,0.0,18.29,Card
100164,2026-02-02 18:14:23,Dine-In,327.0,21.0,4.0,22.0,,0.0,66.7,5.34,11.75,0.0,83.79,Card
100165,2026-02-28 19:21:41,Dine-In,328.0,28.0,2.0,4.0,,0.0,72.99,5.84,15.3,0.0,94.13,Google Pay
100166,2026-02-01 18:13:04,Dine-In,,27.0,2.0,23.0,,0.0,29.71,2.38,5.4,0.0,37.49,Card
100167,2026-02-01 08:06:20,Delivery,,,,,,0.0,18.4,1.47,0.0,3.15,23.02,Apple Pay
100168,2026-02-01 10:19:04,Dine-In,175.0,25.0,6.0,38.0,,0.0,22.35,1.79,4.16,0.0,28.3,Gift Card
100169,2026-02-09 19:31:18,Takeout,249.0,,,,,0.0,77.36,6.19,8.44,0.0,91.99,Card
100170,2026-02-25 19:40:19,Takeout,517.0,,,,,0.0,8.27,0.66,0.0,0.0,8.93,Card
100171,2026-02-12 11:00:55,Takeout,473.0,,,,,0.0,66.73,5.34,7.66,0.0,79.73,Card
100172,2026-02-13 13:39:25,Dine-In,506.0,18.0,3.0,7.0,,0.0,72.03,5.76,13.93,0.0,91.72,Apple Pay
100173,2026-02-08 12:32:18,Takeout,4.0,,,,,0.0,14.96,1.2,0.0,0.0,16.16,Card
100174,2026-02-09 11:08:11,Dine-In,14.0,30.0,4.0,28.0,,0.0,62.15,4.97,8.14,0.0,75.26,Cash
100175,2026-02-16 22:53:14,Dine-In,,11.0,4.0,7.0,,0.0,45.92,3.67,8.77,0.0,58.36,Apple Pay
100176,2026-02-22 20:45:07,Dine-In,,34.0,1.0,27.0,,0.0,79.48,6.36,14.93,0.0,100.77,Apple Pay
100177,2026-02-12 14:17:19,Dine-In,,34.0,5.0,8.0,WEEKEND7,7.0,45.09,3.05,6.95,0.0,48.09,Card
100178,2026-02-08 13:19:51,Dine-In,290.0,30.0,5.0,8.0,,0.0,13.46,1.08,1.95,0.0,16.49,Card
100179,2026-02-08 20:17:09,Delivery,,,,,,0.0,7.96,0.64,0.0,3.09,11.69,Google Pay
100180,2026-02-07 18:09:24,Dine-In,,7.0,6.0,39.0,,0.0,47.17,3.77,8.33,0.0,59.27,Card
100181,2026-02-15 13:40:08,Dine-In,702.0,21.0,4.0,30.0,SUPERBOWL,8.58,57.2,3.89,9.66,0.0,62.17,Card
100182,2026-02-11 18:19:57,Takeout,774.0,,,,,0.0,48.12,3.85,0.0,0.0,51.97,Apple Pay
100183,2026-02-04 18:07:44,Dine-In,508.0,10.0,2.0,10.0,,0.0,26.83,2.15,3.77,0.0,32.75,Card
100184,2026-02-24 15:03:59,Dine-In,189.0,26.0,5.0,35.0,,0.0,36.58,2.93,7.11,0.0,46.62,Card
100185,2026-02-15 19:28:12,Dine-In,103.0,19.0,7.0,32.0,,0.0,51.0,4.08,6.29,0.0,61.37,Card
100186,2026-02-19 15:58:58,Dine-In,741.0,9.0,3.0,1.0,,0.0,115.99,9.28,21.56,0.0,146.83,Card
100187,2026-02-27 19:22:20,Takeout,599.0,,,,WEEKEND7,0.0,30.21,2.42,0.0,0.0,32.63,Card
100188,2026-02-07 20:28:11,Takeout,431.0,,,,,0.0,90.24,7.22,0.0,0.0,97.46,Card
100189,2026-02-21 14:33:51,Takeout,25.0,,,,WELCOME10,3.45,34.45,2.48,0.0,0.0,33.48,Card
100190,2026-02-14 20:15:22,Dine-In,,9.0,3.0,25.0,,0.0,77.05,6.16,13.96,0.0,97.17,Card
100191,2026-02-18 17:16:57,Dine-In,,31.0,8.0,2.0,,0.0,16.62,1.33,2.33,0.0,20.28,Cash
100192,2026-02-09 19:34:31,Dine-In,73.0,3.0,7.0,39.0,LUNCH5,5.0,56.46,4.12,7.18,0.0,62.76,Card
100193,2026-02-11 19:27:01,Takeout,785.0,,,,SUPERBOWL,3.14,20.94,1.42,0.0,0.0,19.22,Card
100194,2026-02-27 12:31:26,Takeout,,,,,,0.0,35.65,2.85,0.0,0.0,38.5,Card
100195,2026-02-04 11:26:16,Delivery,723.0,,,,,0.0,50.82,4.07,0.0,5.08,59.97,Card
100196,2026-02-01 20:24:17,Dine-In,,9.0,3.0,20.0,,0.0,61.99,4.96,11.22,0.0,78.17,Card
100197,2026-02-25 14:02:14,Dine-In,546.0,12.0,1.0,20.0,WELCOME10,0.9,9.02,0.65,1.25,0.0,10.02,Apple Pay
100198,2026-02-08 19:11:13,Takeout,637.0,,,,FAMILY15,5.82,48.54,3.42,0.0,0.0,46.14,Card
100199,2026-02-16 18:21:24,Dine-In,16.0,16.0,2.0,18.0,,0.0,35.9,2.87,7.12,0.0,45.89,Cash
100200,2026-02-17 11:23:36,Takeout,,,,,WEEKEND7,7.0,56.93,3.99,0.0,0.0,53.92,Card
100201,2026-02-22 12:19:11,Dine-In,671.0,4.0,1.0,33.0,,0.0,72.53,5.8,11.4,0.0,89.73,Apple Pay
100202,2026-02-13 18:30:56,Dine-In,369.0,2.0,2.0,27.0,,0.0,112.8,9.02,20.95,0.0,142.77,Card
100203,2026-02-22 18:59:14,Takeout,,,,,,0.0,33.87,2.71,0.0,0.0,36.58,Google Pay
100204,2026-02-09 19:20:23,Dine-In,,21.0,2.0,16.0,,0.0,52.6,4.21,10.67,0.0,67.48,Gift Card
100205,2026-02-27 12:47:42,Dine-In,,17.0,2.0,8.0,FAMILY15,2.42,20.17,1.42,2.16,0.0,21.33,Card
100206,2026-02-08 17:10:59,Dine-In,35.0,7.0,5.0,2.0,,0.0,29.42,2.35,5.34,0.0,37.11,Gift Card
100207,2026-02-01 19:20:26,Takeout,,,,,,0.0,26.05,2.08,0.0,0.0,28.13,Card
100208,2026-02-09 12:42:46,Takeout,,,,,SUPERBOWL,2.01,13.38,0.91,0.0,0.0,12.28,Apple Pay
100209,2026-02-13 13:26:09,Dine-In,285.0,14.0,3.0,40.0,,0.0,83.93,6.71,12.02,0.0,102.66,Card
100210,2026-02-03 17:35:32,Takeout,41.0,,,,FAMILY15,7.61,63.44,4.47,0.0,0.0,60.3,Card
100211,2026-02-04 13:51:46,Dine-In,283.0,11.0,3.0,33.0,,0.0,33.24,2.66,4.81,0.0,40.71,Card
100212,2026-02-25 12:41:12,Dine-In,192.0,10.0,4.0,19.0,,0.0,18.23,1.46,3.3,0.0,22.99,Card
100213,2026-02-01 19:15:15,Takeout,673.0,,,,WEEKEND7,7.0,48.93,3.35,0.0,0.0,45.28,Card
100214,2026-02-12 11:08:56,Dine-In,704.0,32.0,2.0,19.0,,0.0,22.7,1.82,4.56,0.0,29.08,Card
100215,2026-02-08 10:31:46,Dine-In,420.0,3.0,2.0,11.0,LUNCH5,5.0,37.26,2.58,4.08,0.0,38.92,Card
100216,2026-02-07 17:59:25,Delivery,166.0,,,,,0.0,112.41,8.99,0.0,5.31,126.71,Card
100217,2026-02-08 11:21:50,Dine-In,759.0,26.0,6.0,6.0,,0.0,15.22,1.22,2.96,0.0,19.4,Card
100218,2026-02-27 11:09:53,Takeout,332.0,,,,,0.0,40.23,3.22,3.16,0.0,46.61,Card
100219,2026-02-15 14:31:46,Dine-In,,24.0,4.0,29.0,,0.0,23.55,1.88,4.73,0.0,30.16,Gift Card
